idx,lat,lon
0,29.17640349,119.78627625
1,29.17645561,119.78636636
2,29.17652672,119.78645906
3,29.17656818,119.78652621
4,29.17660438,119.78657249
5,29.17660219,119.78662489
6,29.17668312,119.78673304
7,29.17673851,119.78681204
8,29.17679179,119.78675713
9,29.17678461,119.78671391
10,29.17677098,119.78665826
11,29.17673238,119.78660898
12,29.17668452,119.78655465
13,29.17665913,119.78653233
14,29.17663018,119.78648685
15,29.17659995,119.78642636
16,29.17658270,119.78638325
17,29.17656961,119.78634284
18,29.17653933,119.78628961
19,29.17651554,119.78623878
